,title,price,link,realese
39,Gaia Beyond,Rp 95 999,https://store.steampowered.com/app/788630/Gaia_Beyond/?snr=1_7_7_151_150_1,"20 Aug, 2020"
40,CS2D,Free To Play,https://store.steampowered.com/app/666220/CS2D/?snr=1_7_7_151_150_1,"15 Nov, 2017"
41,小黑盒加速器,Free To Play,https://store.steampowered.com/app/1447430/_/?snr=1_7_7_151_150_1,"24 May, 2021"
42,Lawyer Guy: Defender of Justice,Free,https://store.steampowered.com/app/1451110/Lawyer_Guy_Defender_of_Justice/?snr=1_7_7_151_150_1,"6 Nov, 2020"
43,Carmageddon 2: Carpocalypse Now,Rp 89 999,https://store.steampowered.com/app/282030/Carmageddon_2_Carpocalypse_Now/?snr=1_7_7_151_150_1,"19 Sep, 2014"
44,AirShooShoo,,https://store.steampowered.com/app/1989960/AirShooShoo/?snr=1_7_7_151_150_1,"3 Jul, 2023"
45,MiLE HiGH TAXi,,https://store.steampowered.com/app/1366560/MiLE_HiGH_TAXi/?snr=1_7_7_151_150_1,🎮 Coming Soon! 🎮
46,Prison Simulator Prologue,Free,https://store.steampowered.com/app/1431610/Prison_Simulator_Prologue/?snr=1_7_7_151_150_1,"20 May, 2021"
47,Rock 'N' Roll Defense,Rp 8 499Rp 4 249,https://store.steampowered.com/app/438480/Rock_N_Roll_Defense/?snr=1_7_7_151_150_1,"10 Aug, 2016"
48,Lamp Head,Rp 39 999,https://store.steampowered.com/app/603030/Lamp_Head/?snr=1_7_7_151_150_1,"1 Jun, 2017"
49,ConflictCraft,Rp 47 499,https://store.steampowered.com/app/495570/ConflictCraft/?snr=1_7_7_151_150_1,"8 Dec, 2016"
,title,price,link,realese
0,Grand Theft Auto V,,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_151_150_1,"13 Apr, 2015"
1,Grand Theft Auto,,https://store.steampowered.com/app/12170/Grand_Theft_Auto/?snr=1_7_7_151_150_1,"4 Jan, 2008"
2,Grand Theft Auto 2,,https://store.steampowered.com/app/12180/Grand_Theft_Auto_2/?snr=1_7_7_151_150_1,"4 Jan, 2008"
3,Grand Theft Auto V: Premium Edition,Rp 300 750,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Edition/?snr=1_7_7_151_150_1,None
4,Grand Theft Auto IV: Complete Edition,,https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/?snr=1_7_7_151_150_1,None
5,Grand Theft Auto IV: The Complete Edition,Rp 210 000,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV_The_Complete_Edition/?snr=1_7_7_151_150_1,"24 Mar, 2020"
6,GTA Online: Shark Cash Cards,,https://store.steampowered.com/app/376850/GTA_Online_Shark_Cash_Cards/?snr=1_7_7_151_150_1,"9 Jun, 2015"
7,Grand Theft Auto: Episodes from Liberty City,,https://store.steampowered.com/app/12220/Grand_Theft_Auto_Episodes_from_Liberty_City/?snr=1_7_7_151_150_1,"12 Apr, 2010"
8,Grand Theft Auto V - Criminal Enterprise Starter Pack,Rp 111 000,https://store.steampowered.com/app/771300/Grand_Theft_Auto_V__Criminal_Enterprise_Starter_Pack/?snr=1_7_7_151_150_1,"14 Dec, 2017"
9,Grand Theft Auto V: Premium Edition & Megalodon Shark Card Bundle,Rp 856 640,https://store.steampowered.com/bundle/5702/Grand_Theft_Auto_V_Premium_Edition__Megalodon_Shark_Card_Bundle/?snr=1_7_7_151_150_1,None
10,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,Rp 441 375,https://store.steampowered.com/bundle/5700/Grand_Theft_Auto_V_Premium_Edition__Great_White_Shark_Card_Bundle/?snr=1_7_7_151_150_1,None
11,Grand Theft Auto V: Premium Edition & Whale Shark Card Bundle,Rp 556 160,https://store.steampowered.com/bundle/5701/Grand_Theft_Auto_V_Premium_Edition__Whale_Shark_Card_Bundle/?snr=1_7_7_151_150_1,None
12,Red Dead Online,Rp 279 000,https://store.steampowered.com/app/1404210/Red_Dead_Online/?snr=1_7_7_151_150_1,"1 Dec, 2020"
13,Streets of Rogue 2,,https://store.steampowered.com/app/2165810/Streets_of_Rogue_2/?snr=1_7_7_151_150_1,2023
14,Assetto Corsa - Dream Pack 1,Rp 52 999,https://store.steampowered.com/app/347990/Assetto_Corsa__Dream_Pack_1/?snr=1_7_7_151_150_1,"11 Mar, 2015"
15,Skater XL - The Ultimate Skateboarding Game,Rp 169 999,https://store.steampowered.com/app/962730/Skater_XL__The_Ultimate_Skateboarding_Game/?snr=1_7_7_151_150_1,"28 Jul, 2020"
16,Rustler (Grand Theft Horse),Rp 119 999,https://store.steampowered.com/app/844260/Rustler_Grand_Theft_Horse/?snr=1_7_7_151_150_1,"31 Aug, 2021"
17,"Warhammer 40,000: Dawn of War III",Rp 354 999,https://store.steampowered.com/app/285190/Warhammer_40000_Dawn_of_War_III/?snr=1_7_7_151_150_1,"27 Apr, 2017"
18,American Fugitive,Rp 108 999,https://store.steampowered.com/app/934780/American_Fugitive/?snr=1_7_7_151_150_1,"21 May, 2019"
19,Amazing Frog?,Rp 99 999,https://store.steampowered.com/app/332570/Amazing_Frog/?snr=1_7_7_151_150_1,"21 Nov, 2014"
20,BROKE PROTOCOL: Online City RPG,Rp 39 999,https://store.steampowered.com/app/696370/BROKE_PROTOCOL_Online_City_RPG/?snr=1_7_7_151_150_1,"26 Aug, 2017"
21,Death Coming/死神来了,Rp 59 999,https://store.steampowered.com/app/705120/Death_Coming/?snr=1_7_7_151_150_1,"6 Nov, 2017"
22,3dSunshine,Free,https://store.steampowered.com/app/513760/3dSunshine/?snr=1_7_7_151_150_1,"1 Nov, 2016"
23,Howard Phillips Lovecar,Rp 17 499,https://store.steampowered.com/app/644370/Howard_Phillips_Lovecar/?snr=1_7_7_151_150_1,"1 Oct, 2018"
24,Flying Hero VR,Rp 69 999Rp 34 999,https://store.steampowered.com/app/1314300/Flying_Hero_VR/?snr=1_7_7_151_150_1,"6 Nov, 2020"
25,APB Reloaded,Free to Play,https://store.steampowered.com/app/113400/APB_Reloaded/?snr=1_7_7_151_150_1,"6 Dec, 2011"
26,Tokyo 42,Rp 108 999,https://store.steampowered.com/app/490450/Tokyo_42/?snr=1_7_7_151_150_1,"31 May, 2017"
27,Descent: FreeSpace – The Great War,Rp 89 999,https://store.steampowered.com/app/273600/Descent_FreeSpace__The_Great_War/?snr=1_7_7_151_150_1,"7 May, 2014"
28,Maniac,,https://store.steampowered.com/app/1482380/Maniac/?snr=1_7_7_151_150_1,Coming soon
